t,volts
0.0006364,0.068
0.0006368,0.068
0.0006372,0.068
0.0006376,0.068
0.000638,0.068
0.0006384,0.068
0.0006388,0.068
0.0006391999999999999,0.07
0.0006395999999999999,0.07
0.0006399999999999999,0.07200000000000001
0.0006404,0.068
0.0006408,0.07
0.0006412,0.07
0.0006416,0.07
0.000642,0.07
0.0006424,0.07
0.0006428,0.07
0.0006432,0.07
0.0006435999999999999,0.076
0.0006439999999999999,0.07200000000000001
0.0006443999999999999,0.068
0.0006448,0.07
0.0006452,0.07
0.0006456,0.07200000000000001
0.000646,0.07
0.0006464,0.07200000000000001
0.0006468,0.07200000000000001
0.0006472,0.07200000000000001
0.0006476,0.07200000000000001
0.0006479999999999999,0.07
0.0006483999999999999,0.074
0.0006487999999999999,0.074
0.0006492,0.074
0.0006496,0.076
0.00065,0.074
0.0006504,0.07200000000000001
0.0006508,0.074
0.0006512,0.074
0.0006516,0.076
0.000652,0.074
0.0006523999999999999,0.07200000000000001
0.0006527999999999999,0.074
0.0006531999999999999,0.076
0.0006536,0.074
0.000654,0.07200000000000001
0.0006544,0.07200000000000001
0.0006548,0.074
0.0006552,0.076
0.0006556,0.076
0.000656,0.074
0.0006564,0.076
0.0006567999999999999,0.074
0.0006571999999999999,0.076
0.0006575999999999999,0.074
0.000658,0.076
0.0006584,0.076
0.0006588,0.074
0.0006592,0.078
0.0006596,0.076
0.00066,0.078
0.0006604,0.076
0.0006608,0.076
0.0006611999999999999,0.078
0.0006615999999999999,0.078
0.0006619999999999999,0.076
0.0006624,0.078
0.0006628,0.078
0.0006632,0.078
0.0006636,0.076
0.000664,0.078
0.0006644,0.076
0.0006648,0.078
0.0006652,0.076
0.0006655999999999999,0.08
0.0006659999999999999,0.08
0.0006663999999999999,0.08
0.0006667999999999999,0.076
0.0006672,0.078
0.0006676,0.078
0.000668,0.078
0.0006684,0.078
0.0006688,0.078
0.0006692,0.082
0.0006696,0.078
0.00067,0.078
0.0006703999999999999,0.078
0.0006707999999999999,0.078
0.0006711999999999999,0.078
0.0006716,0.08
0.000672,0.082
0.0006724,0.078
0.0006728,0.082
0.0006732,0.08
0.0006736,0.078
0.000674,0.08
0.0006744,0.076
0.0006747999999999999,0.08
0.0006751999999999999,0.078
0.0006755999999999999,0.08
0.000676,0.08
0.0006764,0.082
0.0006768,0.078
0.0006772,0.08
0.0006776,0.082
0.000678,0.08
0.0006784,0.08
0.0006788,0.084
0.0006791999999999999,0.08
0.0006795999999999999,0.082
0.0006799999999999999,0.08
0.0006804,0.08
0.0006808,0.082
0.0006812,0.082
0.0006816,0.082
0.000682,0.084
0.0006824,0.082
0.0006828,0.084
0.0006832,0.08
0.0006835999999999999,0.082
0.0006839999999999999,0.08
0.0006843999999999999,0.08600000000000001
0.0006848,0.08
0.0006852,0.082
0.0006856,0.084
0.000686,0.084
0.0006864,0.082
0.0006868,0.08600000000000001
0.0006872,0.082
0.0006876,0.08
0.0006879999999999999,0.08600000000000001
0.0006883999999999999,0.084
0.0006887999999999999,0.08600000000000001
0.0006892,0.084
0.0006896,0.084
0.00069,0.082
0.0006904,0.082
0.0006908,0.084
0.0006912,0.084
0.0006916,0.084
0.000692,0.084
0.0006923999999999999,0.084
0.0006927999999999999,0.08600000000000001
0.0006931999999999999,0.082
0.0006935999999999999,0.084
0.000694,0.08600000000000001
0.0006944,0.08600000000000001
0.0006948,0.084
0.0006952,0.08600000000000001
0.0006956,0.08600000000000001
0.000696,0.088
0.0006964,0.084
0.0006967999999999999,0.084
0.0006971999999999999,0.084
0.0006975999999999999,0.08600000000000001
0.0006979999999999999,0.08600000000000001
0.0006984,0.084
0.0006988,0.08600000000000001
0.0006992,0.088
0.0006996,0.084
0.0007,0.082
0.0007004,0.08600000000000001
0.0007008,0.084
0.0007012,0.088
0.0007015999999999999,0.088
0.0007019999999999999,0.08600000000000001
0.0007023999999999999,0.08600000000000001
